External Library Name, Link to License, License Name, Binaries using the license.
picosha2, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/LICENSE, MIT, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn android-emu-metrics.dylib ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/refs/heads/emu-master-dev/android/third_party/picosha2/
keymaster-3, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3/NOTICE, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/qemu/+/emu-master-dev/android/third_party/libkeymaster3
angle, https://chromium.googlesource.com/angle/angle/LICENSE, BSD-3-Clause, OpenglRender.dylib ./emulator lib64/libshadertranslator.dylib, https://chromium.googlesource.com/angle/angle
astc-codec, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master/LICENSE, Apache-2.0, OpenglRender.dylib, https://android.googlesource.com/platform/external/astc-codec/+/refs/heads/master
gtest, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master/LICENSE, BSD3, ./emulator, https://android.googlesource.com/platform/external/googletest/+/refs/heads/master
e2fs, http://www.linfo.org/e2fsprogs.html, GPL-2.0-only, bin64/tune2fs bin64/resize2fs bin64/e2fsck bin64/mkfs.ext4 bin64/fsck.ext4 ./emulator, https://android.googlesource.com/platform/prebuilts/android-emulator-build/archive/+/refs/heads/emu-master-dev/e2fsprogs-1.42.13-patches.tar.xz
c-ares, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev/NOTICE, MIT, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/c-ares/+/refs/heads/emu-master-dev
upb, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
address_sorting, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev/NOTICE.txt, Apache-2.0, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/grpc-grpc/+/refs/heads/emu-master-dev
libyuv, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/LICENSE, BSD-3-Clause, ./nimble_bridge ./qemu/darwin-aarch64/qemu-system-aarch64-headless emugl_common.dylib ./qsn ./emulator ./qemu/darwin-aarch64/qemu-system-armel-headless ./qemu-img ./qemu/darwin-aarch64/qemu-system-aarch64 OpenglRender.dylib ./emulator-check ./qemu/darwin-aarch64/qemu-system-armel, https://android.googlesource.com/platform/external/chromium_org/third_party/libyuv/+/refs/heads/master/
